Timestamp,Water_Level,Water_Level_imputed,Discharge,Discharge_imputed
1960-01-01,,,390.000,No
1960-01-02,,,382.000,No
1960-01-03,,,373.000,No
1960-01-04,,,369.000,No
1960-01-05,,,364.000,No
1960-01-06,,,364.000,No
1960-01-07,,,364.000,No
1960-01-08,,,360.000,No
1960-01-09,,,352.000,No
1960-01-10,,,360.000,No
1960-01-11,,,364.000,No
1960-01-12,,,360.000,No
1960-01-13,,,356.000,No
1960-01-14,,,352.000,No
1960-01-15,,,352.000,No
1960-01-16,,,339.000,No
1960-01-17,,,330.000,No
1960-01-18,,,313.000,No
1960-01-19,,,308.000,No
1960-01-20,,,308.000,No
1960-01-21,,,304.000,No
1960-01-22,,,296.000,No
1960-01-23,,,278.000,No
1960-01-24,,,261.000,No
1960-01-25,,,252.000,No
1960-01-26,,,248.000,No
1960-01-27,,,240.000,No
1960-01-28,,,236.000,No
1960-01-29,,,231.000,No
1960-01-30,,,228.000,No
1960-01-31,,,224.000,No
1960-02-01,,,224.000,No
1960-02-02,,,212.000,No
1960-02-03,,,219.000,No
1960-02-04,,,224.000,No
1960-02-05,0.970,No,219.000,No
1960-02-06,1.530,Yes,215.000,No
1960-02-07,1.520,Yes,215.000,No
1960-02-08,1.520,Yes,215.000,No
1960-02-09,1.490,Yes,215.000,No
1960-02-10,1.470,Yes,228.000,No
1960-02-11,1.450,Yes,244.000,No
1960-02-12,1.450,Yes,248.000,No
1960-02-13,1.450,Yes,261.000,No
1960-02-14,1.450,Yes,278.000,No
1960-02-15,1.440,Yes,287.000,No
1960-02-16,1.440,Yes,287.000,No
1960-02-17,1.450,Yes,287.000,No
1960-02-18,1.450,Yes,270.000,No
1960-02-19,1.450,Yes,248.000,No
1960-02-20,1.440,Yes,236.000,No
1960-02-21,1.450,Yes,228.000,No
1960-02-22,1.450,Yes,224.000,No
1960-02-23,1.450,Yes,224.000,No
1960-02-24,0.820,No,207.000,No
1960-02-25,1.440,Yes,195.000,No
1960-02-26,1.430,Yes,195.000,No
1960-02-27,1.390,Yes,191.000,No
1960-02-28,1.390,Yes,187.000,No
1960-02-29,1.390,Yes,183.000,No
1960-03-01,1.390,Yes,183.000,No
1960-03-02,1.390,Yes,183.000,No
1960-03-03,1.390,Yes,179.000,No
1960-03-04,1.390,Yes,176.000,No
1960-03-05,1.390,Yes,172.000,No
1960-03-06,1.410,Yes,162.000,No
1960-03-07,1.410,Yes,146.000,No
1960-03-08,1.410,Yes,131.000,No
1960-03-09,1.420,Yes,116.000,No
1960-03-10,1.450,Yes,116.000,No
1960-03-11,1.450,Yes,85.200,No
1960-03-12,0.880,No,27.700,No
1960-03-13,0.880,No,8.500,No
1960-03-14,0.880,No,177.000,No
1960-03-15,0.870,No,174.000,No
1960-03-16,0.860,No,171.000,No
1960-03-17,0.860,No,171.000,No
1960-03-18,0.830,No,162.000,No
1960-03-19,0.800,No,153.000,No
1960-03-20,0.880,No,177.000,No
1960-03-21,0.760,No,141.000,No
1960-03-22,0.770,No,144.000,No
1960-03-23,0.700,No,123.000,No
1960-03-24,0.890,No,180.000,No
1960-03-25,0.750,No,138.000,No
1960-03-26,0.740,No,135.000,No
1960-03-27,0.760,No,141.000,No
1960-03-28,0.740,No,135.000,No
1960-03-29,0.700,No,123.000,No
1960-03-30,0.690,No,120.000,No
1960-03-31,0.680,No,118.000,No
1960-04-01,0.680,No,118.000,No
1960-04-02,0.680,No,118.000,No
1960-04-03,0.680,No,118.000,No
1960-04-04,0.690,No,120.000,No
1960-04-05,0.700,No,126.000,No
1960-04-06,0.690,No,123.000,No
1960-04-07,0.660,No,116.000,No
1960-04-08,0.640,No,112.000,No
1960-04-09,0.650,No,114.000,No
1960-04-10,0.650,No,114.000,No
1960-04-11,0.640,No,112.000,No
1960-04-12,0.620,No,108.000,No
1960-04-13,0.660,No,116.000,No
1960-04-14,0.650,No,114.000,No
1960-04-15,0.630,No,112.000,No
1960-04-16,0.670,No,120.000,No
1960-04-17,0.630,No,112.000,No
1960-04-18,0.600,No,106.000,No
1960-04-19,0.610,No,108.000,No
1960-04-20,0.640,No,114.000,No
1960-04-21,0.650,No,116.000,No
1960-04-22,0.700,No,129.000,No
1960-04-23,0.680,No,126.000,No
1960-04-24,0.640,No,116.000,No
1960-04-25,0.630,No,114.000,No
1960-04-26,0.620,No,112.000,No
1960-04-27,0.660,No,120.000,No
1960-04-28,0.660,No,120.000,No
1960-04-29,0.680,No,126.000,No
1960-04-30,0.700,No,132.000,No
1960-05-01,0.690,No,129.000,No
1960-05-02,0.670,No,123.000,No
1960-05-03,0.780,No,156.000,No
1960-05-04,0.800,No,165.000,No
1960-05-05,0.770,No,156.000,No
1960-05-06,0.670,No,126.000,No
1960-05-07,0.630,No,116.000,No
1960-05-08,0.730,No,144.000,No
1960-05-09,0.780,No,159.000,No
1960-05-10,0.770,No,159.000,No
1960-05-11,0.740,No,150.000,No
1960-05-12,0.780,No,162.000,No
1960-05-13,0.740,No,150.000,No
1960-05-14,0.880,No,196.000,No
1960-05-15,0.900,No,8.500,No
1960-05-16,1.000,No,46.800,No
1960-05-17,1.040,No,62.200,No
1960-05-18,1.200,No,345.000,No
1960-05-19,1.550,No,532.000,No
1960-05-20,1.180,No,335.000,No
1960-05-21,1.180,No,330.000,No
1960-05-22,1.550,No,520.000,No
1960-05-23,1.660,No,580.000,No
1960-05-24,1.700,No,604.000,No
1960-05-25,1.630,No,556.000,No
1960-05-26,1.530,No,490.000,No
1960-05-27,1.200,No,315.000,No
1960-05-28,1.230,No,330.000,No
1960-05-29,1.000,No,46.800,No
1960-05-30,1.150,No,280.000,No
1960-05-31,1.200,No,300.000,No
1960-06-01,1.190,No,290.000,No
1960-06-02,1.160,No,270.000,No
1960-06-03,1.130,No,96.700,No
1960-06-04,1.100,No,85.200,No
1960-06-05,1.640,No,508.000,No
1960-06-06,3.400,No,1820.000,No
1960-06-07,3.360,No,1770.000,No
1960-06-08,3.700,No,2080.000,No
1960-06-09,3.680,No,2050.000,No
1960-06-10,3.300,No,1700.000,No
1960-06-11,2.550,No,738.000,No
1960-06-12,2.140,No,784.000,No
1960-06-13,2.110,No,760.000,No
1960-06-14,2.000,No,688.000,No
1960-06-15,1.900,No,622.000,No
1960-06-16,1.800,No,556.000,No
1960-06-17,1.780,No,544.000,No
1960-06-18,1.600,No,435.000,No
1960-06-19,1.580,No,425.000,No
1960-06-20,1.550,No,405.000,No
1960-06-21,1.540,No,395.000,No
1960-06-22,1.680,No,460.000,No
1960-06-23,1.600,No,420.000,No
1960-06-24,1.530,No,380.000,No
1960-06-25,1.900,No,580.000,No
1960-06-26,1.640,No,430.000,No
