Timestamp,Water_Level,Water_Level_imputed,Discharge,Discharge_imputed
1962-04-01,0.980,No,,
1962-04-02,0.960,No,,
1962-04-03,0.950,No,3.000,No
1962-04-04,0.940,No,3.000,No
1962-04-05,0.930,No,6.000,Yes
1962-04-06,0.940,No,3.000,No
1962-04-07,0.920,No,2.000,No
1962-04-08,0.940,No,3.000,No
1962-04-09,0.910,No,2.000,No
1962-04-10,0.900,No,2.000,No
1962-04-11,0.890,No,2.000,No
1962-04-12,0.880,No,2.000,No
1962-04-13,0.890,No,2.000,No
1962-04-14,0.880,No,2.000,No
1962-04-15,0.860,No,1.000,No
1962-04-16,0.980,No,3.000,No
1962-04-17,1.100,No,5.000,No
1962-04-18,1.100,No,5.000,No
1962-04-19,1.200,No,5.000,No
1962-04-20,1.160,No,5.000,No
1962-04-21,1.140,No,5.000,No
1962-04-22,1.100,No,5.000,No
1962-04-23,1.100,No,5.000,No
1962-04-24,1.160,No,5.000,No
1962-04-25,1.120,No,5.000,No
1962-04-26,1.180,No,5.000,No
1962-04-27,1.210,No,6.000,No
1962-04-28,1.240,No,6.000,No
1962-04-29,1.300,No,6.000,No
1962-04-30,1.350,No,7.000,No
1962-05-01,1.400,No,8.000,No
1962-05-02,1.340,No,7.000,No
1962-05-03,1.400,No,8.000,No
1962-05-04,1.790,No,13.000,No
1962-05-05,2.500,No,25.000,No
1962-05-06,2.210,No,20.000,No
1962-05-07,1.810,No,13.000,No
1962-05-08,1.540,No,9.000,No
1962-05-09,1.370,No,7.000,No
1962-05-10,1.290,No,6.000,No
1962-05-11,1.310,No,7.000,No
1962-05-12,1.540,No,9.000,No
1962-05-13,2.220,No,20.000,No
1962-05-14,2.140,No,19.000,No
1962-05-15,1.940,No,15.000,No
1962-05-16,2.080,No,18.000,No
1962-05-17,1.840,No,13.000,No
1962-05-18,1.720,No,12.000,No
1962-05-19,1.820,No,13.000,No
1962-05-20,1.740,No,12.000,No
1962-05-21,2.280,No,21.000,No
1962-05-22,2.420,No,24.000,No
1962-05-23,1.320,No,7.000,No
1962-05-24,1.120,No,5.000,No
1962-05-25,2.030,No,17.000,No
1962-05-26,1.880,No,14.000,No
1962-05-27,1.800,No,13.000,No
1962-05-28,1.820,No,13.000,No
1962-05-29,1.830,No,13.000,No
1962-05-30,1.920,No,15.000,No
1962-05-31,1.980,No,16.000,No
1962-06-01,2.100,No,18.000,No
1962-06-02,2.140,No,19.000,No
1962-06-03,2.220,No,20.000,No
1962-06-04,2.590,No,70.000,No
1962-06-05,3.080,No,43.000,No
1962-06-06,2.840,No,34.000,No
1962-06-07,2.780,No,32.000,No
1962-06-08,2.500,No,25.000,No
1962-06-09,2.230,No,20.000,No
1962-06-10,2.100,No,18.000,No
1962-06-11,2.240,No,20.000,No
1962-06-12,2.520,No,26.000,No
1962-06-13,3.250,No,51.000,No
1962-06-14,3.560,No,68.000,No
1962-06-15,3.680,No,76.000,No
1962-06-16,3.480,No,63.000,No
1962-06-17,4.080,No,108.000,No
1962-06-18,4.300,No,129.000,No
1962-06-19,4.400,No,139.000,No
1962-06-20,4.500,No,150.000,No
1962-06-21,4.360,No,135.000,No
1962-06-22,3.660,No,74.000,No
1962-06-23,3.100,No,44.000,No
1962-06-24,2.810,No,33.000,No
1962-06-25,2.580,No,27.000,No
1962-06-26,2.400,No,23.000,No
1962-06-27,2.360,No,23.000,No
1962-06-28,2.720,No,31.000,No
1962-06-29,2.680,No,30.000,No
1962-06-30,2.520,No,26.000,No
1962-07-01,2.300,No,21.000,No
1962-07-02,2.160,No,19.000,No
1962-07-03,1.970,No,16.000,No
1962-07-04,1.800,No,13.000,No
1962-07-05,1.920,No,15.000,No
1962-07-06,2.240,No,20.000,No
1962-07-07,2.480,No,25.000,No
1962-07-08,3.000,No,40.000,No
1962-07-09,3.500,No,64.000,No
1962-07-10,3.200,No,49.000,No
1962-07-11,3.740,No,80.000,No
1962-07-12,4.300,No,129.000,No
1962-07-13,4.700,No,171.000,No
1962-07-14,5.020,No,206.000,No
1962-07-15,4.100,No,117.000,Yes
1962-07-16,3.480,No,63.000,No
1962-07-17,3.300,No,53.000,No
1962-07-18,6.680,No,441.000,No
1962-07-19,7.000,No,500.000,No
1962-07-20,5.880,No,314.000,No
1962-07-21,4.660,No,167.000,No
1962-07-22,4.100,No,110.000,No
1962-07-23,5.360,No,247.000,No
1962-07-24,6.360,No,385.000,No
1962-07-25,5.120,No,218.000,No
1962-07-26,4.280,No,128.000,No
1962-07-27,3.820,No,86.000,No
1962-07-28,4.420,No,142.000,No
1962-07-29,4.380,No,137.000,No
1962-07-30,4.260,No,125.000,No
1962-07-31,4.040,No,104.000,No
1962-08-01,3.700,No,77.000,No
1962-08-02,3.420,No,58.000,No
1962-08-03,4.320,No,132.000,No
1962-08-04,5.640,No,284.000,No
1962-08-05,6.500,No,409.000,No
1962-08-06,8.380,No,800.000,No
1962-08-07,7.820,No,760.000,No
1962-08-08,5.840,No,159.000,Yes
1962-08-09,5.400,No,252.000,No
1962-08-10,5.000,No,216.000,No
1962-08-11,4.600,No,159.000,No
1962-08-12,7.480,No,600.000,No
1962-08-13,6.220,No,362.000,No
1962-08-14,5.040,No,206.000,No
1962-08-15,4.400,No,133.000,No
1962-08-16,4.200,No,114.000,No
1962-08-17,3.920,No,84.000,No
1962-08-18,3.680,No,61.000,No
1962-08-19,3.520,No,44.000,No
1962-08-20,3.480,No,36.000,No
1962-08-21,3.460,No,34.000,No
1962-08-22,3.440,No,28.000,No
1962-08-23,3.480,No,28.000,No
1962-08-24,3.680,No,44.000,No
1962-08-25,3.860,No,59.000,No
1962-08-26,4.100,No,82.000,No
1962-08-27,4.020,No,74.000,No
1962-08-28,4.200,No,90.000,No
1962-08-29,4.060,No,76.000,No
1962-08-30,3.880,No,52.000,No
1962-08-31,4.260,No,91.000,No
1962-09-01,3.200,No,84.000,No
1962-09-02,3.160,No,79.000,No
1962-09-03,3.800,No,148.000,No
1962-09-04,4.120,No,74.000,No
1962-09-05,4.120,No,74.000,No
1962-09-06,4.000,No,58.000,No
1962-09-07,6.000,No,325.000,No
1962-09-08,5.380,No,97.000,Yes
1962-09-09,5.160,No,184.000,No
1962-09-10,4.640,No,117.000,No
1962-09-11,5.860,No,285.000,No
1962-09-12,5.600,No,235.000,No
1962-09-13,5.080,No,161.000,No
1962-09-14,4.600,No,99.000,No
1962-09-15,4.840,No,124.000,No
1962-09-16,5.000,No,140.000,No
1962-09-17,5.080,No,147.000,No
1962-09-18,5.000,No,130.000,No
1962-09-19,4.600,No,81.000,No
1962-09-20,4.980,No,125.000,No
1962-09-21,4.900,No,112.000,No
1962-09-22,4.720,No,85.000,No
1962-09-23,4.700,No,77.000,No
1962-09-24,4.860,No,97.000,No
1962-09-25,4.740,No,89.000,No
1962-09-26,5.080,No,117.000,No
1962-09-27,5.060,No,109.000,No
1962-09-28,4.800,No,210.000,No
1962-09-29,4.680,No,174.000,No
1962-09-30,4.700,No,153.000,No
1962-10-01,5.380,No,132.000,No
1962-10-02,5.180,No,100.000,No
1962-10-03,5.200,No,99.000,No
1962-10-04,5.080,No,75.000,No
1962-10-05,5.060,No,68.000,No
1962-10-06,5.120,No,75.000,No
1962-10-07,5.220,No,93.000,No
1962-10-08,5.200,No,83.000,No
1962-10-09,5.280,No,95.000,No
1962-10-10,5.220,No,80.000,No
1962-10-11,5.280,No,87.000,No
1962-10-12,5.240,No,78.000,No
1962-10-13,5.220,No,71.000,No
1962-10-14,5.200,No,75.000,No
1962-10-15,5.160,No,64.000,No
1962-10-16,5.220,No,82.000,No
1962-10-17,5.180,No,75.000,No
1962-10-18,5.140,No,70.000,No
1962-10-19,5.200,No,89.000,No
1962-10-20,5.320,No,112.000,No
1962-10-21,5.360,No,122.000,No
1962-10-22,5.200,No,99.000,No
1962-10-23,5.420,No,136.000,No
1962-10-24,5.260,No,116.000,No
1962-10-25,5.200,No,108.000,No
1962-10-26,5.100,No,100.000,No
1962-10-27,4.980,No,83.000,No
1962-10-28,4.940,No,82.000,No
1962-10-29,4.900,No,82.000,No
1962-10-30,4.820,No,73.000,No
1962-10-31,4.700,No,58.000,No
1962-11-01,4.640,No,53.000,No
1962-11-02,4.600,No,55.000,No
1962-11-03,4.560,No,54.000,No
1962-11-04,4.500,No,50.000,No
1962-11-05,4.840,No,102.000,No
1962-11-06,4.820,No,102.000,No
1962-11-07,4.800,No,104.000,No
1962-11-08,4.780,No,105.000,No
1962-11-09,4.700,No,94.000,No
1962-11-10,4.640,No,93.000,No
1962-11-11,4.540,No,90.000,No
1962-11-12,4.460,No,86.000,No
1962-11-13,4.400,No,84.000,No
1962-11-14,4.280,No,75.000,No
1962-11-15,4.200,No,71.000,No
1962-11-16,4.160,No,69.000,No
1962-11-17,4.130,No,69.000,No
1962-11-18,4.110,No,74.000,No
1962-11-19,4.070,No,72.000,No
1962-11-20,4.030,No,74.000,No
1962-11-21,4.000,No,74.000,No
1962-11-22,3.960,No,71.000,No
1962-11-23,3.910,No,69.000,No
1962-11-24,3.890,No,69.000,No
1962-11-25,3.860,No,68.000,No
1962-11-26,3.830,No,66.000,No
1962-11-27,3.790,No,65.000,No
1962-11-28,3.730,No,61.000,No
1962-11-29,3.690,No,60.000,No
1962-11-30,3.630,No,56.000,No
1962-12-01,3.570,No,53.000,No
1962-12-02,3.510,No,50.000,No
1962-12-03,3.470,No,48.000,No
1962-12-04,3.400,No,45.000,No
1962-12-05,3.370,No,44.000,No
1962-12-06,3.300,No,19.000,Yes
1962-12-07,3.250,No,39.000,No
1962-12-08,3.150,No,34.000,No
1962-12-09,3.090,No,31.000,No
1962-12-10,3.050,No,31.000,No
1962-12-11,2.970,No,28.000,No
1962-12-12,3.050,No,32.000,No
1962-12-13,2.970,No,30.000,No
1962-12-14,3.060,No,35.000,No
1962-12-15,3.020,No,34.000,No
1962-12-16,3.000,No,34.000,No
1962-12-17,2.890,No,30.000,No
1962-12-18,2.880,No,30.000,No
1962-12-19,3.050,No,38.000,No
1962-12-20,3.050,No,38.000,No
1962-12-21,3.030,No,38.000,No
1962-12-22,2.990,No,37.000,No
1962-12-23,2.820,No,30.000,No
1962-12-24,2.720,No,27.000,No
1962-12-25,2.620,No,24.000,No
1962-12-26,2.510,No,21.000,No
1962-12-27,2.320,No,17.000,No
1962-12-28,2.170,No,14.000,No
1962-12-29,2.010,No,12.000,No
1962-12-30,1.870,No,10.000,No
1962-12-31,1.810,No,9.000,No
1963-01-01,1.770,No,9.000,No
1963-01-02,1.730,No,9.000,No
1963-01-03,1.670,No,8.000,No
1963-01-04,1.620,No,8.000,No
1963-01-05,1.480,No,7.000,No
1963-01-06,1.460,No,7.000,No
1963-01-07,1.380,No,6.000,No
1963-01-08,1.320,No,6.000,No
1963-01-09,1.250,No,6.000,No
1963-01-10,1.190,No,4.000,Yes
1963-01-11,1.150,No,5.000,No
1963-01-12,1.180,No,5.000,No
1963-01-13,1.170,No,5.000,No
1963-01-14,1.160,No,5.000,No
1963-01-15,1.120,No,5.000,No
1963-01-16,1.100,No,5.000,No
1963-01-17,1.070,No,4.000,No
1963-01-18,1.020,No,4.000,No
1963-01-19,1.000,No,4.000,No
1963-01-20,0.980,No,3.000,No
1963-01-21,0.980,No,3.000,No
1963-01-22,0.970,No,3.000,No
1963-01-23,0.960,No,3.000,No
1963-01-24,0.960,No,3.000,No
1963-01-25,0.950,No,3.000,No
1963-01-26,0.940,No,3.000,No
1963-01-27,0.930,No,2.000,No
1963-01-28,0.930,No,2.000,No
1963-01-29,0.920,No,2.000,No
1963-01-30,0.910,No,2.000,No
1963-01-31,0.900,No,2.000,No
1963-02-01,0.900,No,2.000,No
1963-02-02,0.900,No,2.000,No
1963-02-03,0.890,No,2.000,No
1963-02-04,0.880,No,2.000,No
1963-02-05,0.900,No,2.000,No
1963-02-06,0.990,No,4.000,No
1963-02-07,0.980,No,3.000,No
1963-02-08,0.970,No,3.000,No
1963-02-09,0.970,No,3.000,No
1963-02-10,0.990,No,4.000,No
1963-02-11,1.100,No,5.000,No
1963-02-12,1.080,No,4.000,No
1963-02-13,1.060,No,2.000,Yes
1963-02-14,1.030,No,4.000,No
1963-02-15,0.980,No,3.000,No
1963-02-16,1.010,No,4.000,No
1963-02-17,0.980,No,2.000,Yes
1963-02-18,0.960,No,3.000,No
1963-02-19,0.940,No,3.000,No
1963-02-20,0.920,No,2.000,No
1963-02-21,0.910,No,2.000,No
1963-02-22,0.890,No,2.000,No
1963-02-23,0.890,No,2.000,No
1963-02-24,0.880,No,2.000,No
1963-02-25,0.880,No,2.000,No
1963-02-26,0.870,No,2.000,No
1963-02-27,0.860,No,1.000,No
1963-02-28,0.860,No,1.000,No
1963-03-01,0.890,No,2.000,No
1963-03-02,0.930,No,2.000,No
1963-03-03,0.950,No,3.000,No
1963-03-04,0.940,No,2.000,Yes
1963-03-05,0.930,No,2.000,Yes
1963-03-06,0.920,No,2.000,No
1963-03-07,0.910,No,2.000,No
1963-03-08,0.890,No,2.000,No
1963-03-09,0.890,No,2.000,No
1963-03-10,0.880,No,2.000,No
1963-03-11,0.880,No,2.000,No
1963-03-12,0.890,No,2.000,No
1963-03-13,0.990,No,4.000,No
1963-03-14,1.160,No,5.000,No
1963-03-15,1.120,No,5.000,No
1963-03-16,1.100,No,5.000,No
1963-03-17,1.080,No,4.000,No
1963-03-18,1.070,No,4.000,No
1963-03-19,1.060,No,4.000,No
1963-03-20,1.050,No,4.000,No
1963-03-21,1.040,No,4.000,No
1963-03-22,1.040,No,4.000,No
1963-03-23,1.030,No,4.000,No
1963-03-24,1.090,No,4.000,No
1963-03-25,1.100,No,5.000,No
1963-03-26,1.090,No,2.000,Yes
1963-03-27,1.080,No,4.000,No
1963-03-28,1.070,No,4.000,No
1963-03-29,1.060,No,4.000,No
