Timestamp,Water_Level,Water_Level_imputed,Discharge,Discharge_imputed
1960-02-06,0.980,No,164.000,No
1960-02-07,1.180,Yes,187.000,Yes
1960-02-08,1.180,Yes,187.000,Yes
1960-02-09,1.180,Yes,185.000,Yes
1960-02-10,1.180,Yes,185.000,Yes
1960-02-11,1.180,Yes,176.000,Yes
1960-02-12,1.200,Yes,176.000,Yes
1960-02-13,1.200,Yes,176.000,Yes
1960-02-14,1.200,Yes,176.000,Yes
1960-02-15,1.200,Yes,174.000,Yes
1960-02-16,1.180,Yes,172.000,Yes
1960-02-17,1.180,Yes,172.000,Yes
1960-02-18,1.180,Yes,164.000,Yes
1960-02-19,1.180,Yes,164.000,Yes
1960-02-20,1.180,Yes,161.000,Yes
1960-02-21,1.180,Yes,161.000,Yes
1960-02-22,1.180,Yes,161.000,Yes
1960-02-23,1.180,Yes,159.000,Yes
1960-02-24,1.160,Yes,158.000,Yes
1960-02-25,1.140,No,196.000,No
1960-02-26,1.140,Yes,154.000,Yes
1960-02-27,1.140,Yes,152.000,Yes
1960-02-28,1.120,Yes,152.000,Yes
1960-02-29,1.110,Yes,152.000,Yes
1960-03-01,1.110,Yes,143.000,Yes
1960-03-02,1.100,Yes,137.000,Yes
1960-03-03,1.100,Yes,133.000,Yes
1960-03-04,1.100,Yes,133.000,Yes
1960-03-05,1.110,Yes,133.000,Yes
1960-03-06,1.110,Yes,133.000,Yes
1960-03-07,1.100,Yes,133.000,Yes
1960-03-08,1.100,Yes,133.000,Yes
1960-03-09,1.100,Yes,133.000,Yes
1960-03-10,0.850,No,138.000,No
1960-03-11,0.840,No,136.000,No
1960-03-12,0.890,No,146.000,No
1960-03-13,0.940,No,156.000,No
1960-03-14,0.910,No,150.000,No
1960-03-15,0.900,No,148.000,No
1960-03-16,0.860,No,140.000,No
1960-03-17,0.800,No,128.000,No
1960-03-18,0.770,No,122.000,No
1960-03-19,0.760,No,120.000,No
1960-03-20,0.780,No,124.000,No
1960-03-21,0.830,No,134.000,No
1960-03-22,0.850,No,138.000,No
1960-03-23,0.830,No,134.000,No
1960-03-24,0.830,No,134.000,No
1960-03-25,0.820,No,132.000,No
1960-03-26,0.750,No,118.000,No
1960-03-27,0.740,No,116.000,No
1960-03-28,0.700,No,108.000,No
1960-03-29,0.660,No,100.000,No
1960-03-30,0.650,No,98.000,No
1960-03-31,0.650,No,98.000,No
1960-04-01,0.660,No,100.000,No
1960-04-02,0.660,No,100.000,No
1960-04-03,0.650,No,100.000,No
1960-04-04,0.650,No,98.000,No
1960-04-05,0.640,No,96.000,No
1960-04-06,0.620,No,92.000,No
1960-04-07,0.590,No,86.000,No
1960-04-08,0.580,No,84.000,No
1960-04-09,0.570,No,82.000,No
1960-04-10,0.560,No,80.000,No
1960-04-11,0.560,No,80.000,No
1960-04-12,0.550,No,79.000,No
1960-04-13,0.560,No,80.000,No
1960-04-14,0.560,No,80.000,No
1960-04-15,0.550,No,79.000,No
1960-04-16,0.560,No,80.000,No
1960-04-17,0.570,No,82.000,No
1960-04-18,0.730,No,114.000,No
1960-04-19,0.760,No,120.000,No
1960-04-20,0.780,No,124.000,No
1960-04-21,0.750,No,118.000,No
1960-04-22,0.750,No,118.000,No
1960-04-23,0.730,No,114.000,No
1960-04-24,0.710,No,110.000,No
1960-04-25,0.690,No,106.000,No
1960-04-26,0.650,No,98.000,No
1960-04-27,0.610,No,90.000,No
1960-04-28,0.620,No,92.000,No
1960-04-29,0.600,No,88.000,No
1960-04-30,0.620,No,92.000,No
1960-05-01,0.650,No,98.000,No
1960-05-02,0.690,No,106.000,No
1960-05-03,0.660,No,100.000,No
1960-05-04,0.650,No,98.000,No
1960-05-05,0.620,No,92.000,No
1960-05-06,0.570,No,82.000,No
1960-05-07,0.550,No,79.000,No
1960-05-08,0.540,No,78.000,No
1960-05-09,0.530,No,77.000,No
1960-05-10,0.530,No,77.000,No
1960-05-11,0.540,No,78.000,No
1960-05-12,0.570,No,82.000,No
1960-05-13,0.610,No,90.000,No
1960-05-14,0.680,No,104.000,No
1960-05-15,0.810,No,130.000,No
1960-05-16,0.870,No,142.000,No
1960-05-17,1.270,No,233.000,No
1960-05-18,0.810,No,300.000,No
1960-05-19,0.740,No,370.000,No
1960-05-20,0.700,No,230.000,No
1960-05-21,1.210,No,215.000,No
1960-05-22,0.670,No,400.000,No
1960-05-23,0.640,No,460.000,No
1960-05-24,0.610,No,490.000,No
1960-05-25,0.580,No,430.000,No
1960-05-26,0.530,No,360.000,No
1960-05-27,0.500,No,200.000,No
1960-05-28,0.470,No,210.000,No
1960-05-29,0.440,No,130.000,No
1960-05-30,0.480,No,170.000,No
1960-05-31,0.540,No,190.000,No
1960-06-01,0.590,No,180.000,No
1960-06-02,0.650,No,170.000,No
1960-06-03,0.720,No,170.000,No
1960-06-04,0.600,No,160.000,No
1960-06-05,1.260,No,382.000,No
1960-06-06,2.800,No,1180.000,No
1960-06-07,3.000,No,1380.000,No
1960-06-08,3.700,No,1720.000,No
1960-06-09,3.500,No,1500.000,No
1960-06-10,3.000,No,1170.000,No
1960-06-11,2.950,No,1110.000,No
1960-06-12,2.750,No,965.000,No
1960-06-13,2.550,No,865.000,No
1960-06-14,2.550,No,865.000,No
1960-06-15,2.550,No,865.000,No
1960-06-16,2.550,No,865.000,No
1960-06-17,2.500,No,840.000,No
1960-06-18,2.500,No,840.000,No
1960-06-19,2.480,No,830.000,No
1960-06-20,2.460,No,820.000,No
1960-06-21,2.460,No,820.000,No
1960-06-22,2.600,No,890.000,No
1960-06-23,2.830,No,1010.000,No
1960-06-24,3.020,No,1120.000,No
1960-06-25,2.900,No,1040.000,No
1960-06-26,2.870,No,1030.000,No
1960-06-27,2.840,No,1010.000,No
1960-06-28,2.870,No,1090.000,No
1960-06-29,3.250,No,1390.000,No
1960-06-30,3.800,No,1810.000,No
1960-07-01,4.260,No,2200.000,No
1960-07-02,4.830,No,2700.000,No
1960-07-03,4.970,No,2880.000,No
1960-07-04,5.260,No,2980.000,No
1960-07-05,4.640,No,2410.000,No
1960-07-06,4.120,No,1940.000,No
