Timestamp,Rainfall,Rainfall_imputed,Water_Level,Water_Level_imputed,Discharge,Discharge_imputed
1965-01-01,,,5.070,No,,
1965-01-02,,,5.030,No,,
1965-01-03,,,5.010,No,,
1965-01-04,,,4.980,No,,
1965-01-05,,,4.920,No,,
1965-01-06,,,4.890,No,,
1965-01-07,,,4.850,No,,
1965-01-08,,,4.810,No,,
1965-01-09,,,4.770,No,,
1965-01-10,,,4.720,No,,
1965-01-11,,,4.680,No,,
1965-01-12,,,4.640,No,,
1965-01-13,,,4.610,No,,
1965-01-14,,,4.570,No,,
1965-01-15,,,4.540,No,,
1965-01-16,,,4.530,No,,
1965-01-17,,,4.530,No,,
1965-01-18,,,4.540,No,,
1965-01-19,,,4.520,No,,
1965-01-20,,,4.490,No,,
1965-01-21,,,4.480,No,,
1965-01-22,,,4.500,No,,
1965-01-23,,,4.570,No,,
1965-01-24,,,4.550,No,,
1965-01-25,,,4.490,No,,
1965-01-26,,,4.410,No,,
1965-01-27,,,4.340,No,,
1965-01-28,,,4.280,No,,
1965-01-29,,,4.230,No,,
1965-01-30,,,4.120,No,,
1965-01-31,,,4.070,No,,
1965-02-01,,,4.030,No,,
1965-02-02,,,3.990,No,,
1965-02-03,,,3.950,No,,
1965-02-04,,,3.920,No,,
1965-02-05,,,3.880,No,,
1965-02-06,,,3.840,No,,
1965-02-07,,,3.800,No,,
1965-02-08,,,3.760,No,,
1965-02-09,,,3.720,No,,
1965-02-10,,,3.680,No,,
1965-02-11,,,3.640,No,,
1965-02-12,,,3.600,No,,
1965-02-13,,,3.630,No,,
1965-02-14,,,3.520,No,,
1965-02-15,,,3.480,No,,
1965-02-16,,,3.440,No,,
1965-02-17,,,3.400,No,,
1965-02-18,,,3.400,No,,
1965-02-19,,,3.400,No,,
1965-02-20,,,3.360,No,,
1965-02-21,,,3.330,No,,
1965-02-22,,,3.290,No,,
1965-02-23,,,3.250,No,,
1965-02-24,,,3.210,No,,
1965-02-25,,,3.170,No,,
1965-02-26,,,3.130,No,,
1965-02-27,,,3.090,No,,
1965-02-28,,,3.050,No,,
1965-03-01,,,3.010,No,,
1965-03-02,,,2.970,No,,
1965-03-03,,,2.930,No,,
1965-03-04,,,2.890,No,,
1965-03-05,,,2.860,No,,
1965-03-06,,,2.820,No,,
1965-03-07,,,3.500,Yes,,
1965-03-08,,,3.460,Yes,,
1965-03-09,,,3.420,Yes,,
1965-03-10,,,3.370,Yes,,
1965-03-11,,,3.360,Yes,,
1965-03-12,,,3.330,Yes,,
1965-03-13,,,3.310,Yes,,
1965-03-14,,,3.280,Yes,,
1965-03-15,,,3.250,Yes,,
1965-03-16,,,3.240,Yes,,
1965-03-17,,,3.230,Yes,,
1965-03-18,,,3.220,Yes,,
1965-03-19,,,3.210,Yes,,
1965-03-20,,,3.205,Yes,,
1965-03-21,,,3.200,Yes,,
1965-03-22,,,3.300,Yes,,
1965-03-23,,,3.240,Yes,,
1965-03-24,,,3.220,Yes,,
1965-03-25,,,3.190,Yes,,
1965-03-26,,,3.150,Yes,,
1965-03-27,,,3.150,Yes,,
1965-03-28,,,3.140,Yes,,
1965-03-29,,,3.140,Yes,,
1965-03-30,,,3.130,Yes,,
1965-03-31,,,3.130,Yes,,
1965-04-01,,,3.100,Yes,,
1965-04-02,,,3.060,Yes,,
1965-04-03,,,3.010,Yes,,
1965-04-04,,,2.980,Yes,,
1965-04-05,,,2.980,Yes,,
1965-04-06,,,2.980,Yes,,
1965-04-07,,,2.980,Yes,,
1965-04-08,,,2.980,Yes,,
1965-04-09,,,2.980,Yes,,
1965-04-10,,,2.980,Yes,,
1965-04-11,,,2.970,Yes,,
1965-04-12,,,2.970,Yes,,
1965-04-13,,,2.970,Yes,,
1965-04-14,,,2.970,Yes,,
1965-04-15,,,3.000,Yes,,
1965-04-16,,,3.070,Yes,,
1965-04-17,,,3.120,Yes,,
1965-04-18,,,3.200,Yes,,
1965-04-19,,,3.300,Yes,,
1965-04-20,,,3.370,Yes,,
1965-04-21,,,3.400,Yes,,
1965-04-22,,,3.480,Yes,,
1965-04-23,,,3.560,Yes,,
1965-04-24,,,3.620,Yes,,
1965-04-25,,,3.660,Yes,,
1965-04-26,,,3.720,Yes,,
1965-04-27,,,3.770,Yes,,
1965-04-28,,,3.780,Yes,,
1965-04-29,,,3.790,Yes,,
1965-04-30,,,3.840,Yes,,
1965-05-01,,,3.840,Yes,,
1965-05-02,,,3.790,Yes,,
1965-05-03,,,3.770,Yes,,
1965-05-04,,,3.770,Yes,,
1965-05-05,,,3.650,Yes,,
1965-05-06,,,3.570,Yes,,
1965-05-07,,,3.570,Yes,,
1965-05-08,,,3.570,Yes,,
1965-05-09,,,3.570,Yes,,
1965-05-10,,,3.650,Yes,,
1965-05-11,,,3.710,Yes,,
1965-05-12,,,3.750,Yes,,
1965-05-13,,,3.840,Yes,,
1965-05-14,,,3.890,Yes,,
1965-05-15,,,3.920,Yes,,
1965-05-16,,,3.920,Yes,,
1965-05-17,,,3.920,Yes,,
1965-05-18,,,3.920,Yes,,
1965-05-19,,,3.880,Yes,,
1965-05-20,,,3.880,Yes,,
1965-05-21,,,5.090,Yes,,
1965-05-22,,,5.060,Yes,,
1965-05-23,,,5.050,Yes,,
1965-05-24,,,5.070,Yes,,
1965-05-25,,,5.090,Yes,,
1965-05-26,,,5.070,Yes,,
1965-05-27,,,5.050,Yes,,
1965-05-28,,,5.030,Yes,,
1965-05-29,,,5.050,Yes,,
1965-05-30,,,5.070,Yes,,
1965-05-31,,,5.070,Yes,,
1965-06-01,,,4.930,Yes,,
1965-06-02,,,4.930,Yes,,
1965-06-03,,,4.930,Yes,,
1965-06-04,,,4.930,Yes,,
1965-06-05,,,4.930,Yes,,
1965-06-06,,,4.930,Yes,,
1965-06-07,,,4.930,Yes,,
1965-06-08,,,5.050,Yes,,
1965-06-09,,,5.310,Yes,,
1965-06-10,,,5.680,Yes,,
1965-06-11,,,5.930,Yes,,
1965-06-12,,,6.030,Yes,,
1965-06-13,,,5.930,No,,
1965-06-14,,,6.210,No,,
1965-06-15,,,6.310,No,,
1965-06-16,,,6.440,No,,
1965-06-17,,,6.950,No,,
1965-06-18,,,7.400,No,,
1965-06-19,,,7.810,No,,
1965-06-20,,,7.780,No,,
1965-06-21,,,7.700,No,,
1965-06-22,,,7.730,No,,
1965-06-23,,,7.880,No,,
1965-06-24,,,8.220,No,,
1965-06-25,,,8.510,No,,
1965-06-26,,,8.830,No,,
1965-06-27,,,8.940,No,,
1965-06-28,,,8.840,No,,
1965-06-29,,,8.960,No,,
1965-06-30,,,9.140,No,,
1965-07-01,,,9.100,No,,
1965-07-02,,,8.940,No,,
1965-07-03,,,8.870,No,,
1965-07-04,,,8.720,No,,
1965-07-05,,,8.680,No,,
1965-07-06,,,8.990,No,,
1965-07-07,,,9.100,No,,
1965-07-08,,,9.040,No,,
1965-07-09,,,8.950,No,,
1965-07-10,,,9.640,No,,
1965-07-11,,,9.990,No,,
1965-07-12,,,10.200,No,,
1965-07-13,,,10.120,No,,
1965-07-14,,,9.920,No,,
1965-07-15,,,9.660,No,,
1965-07-16,,,9.370,No,,
1965-07-17,,,9.220,No,,
1965-07-18,,,9.170,No,,
1965-07-19,,,10.100,No,,
1965-07-20,,,9.950,No,,
1965-07-21,,,9.760,No,,
1965-07-22,,,9.990,No,,
1965-07-23,,,10.110,No,,
1965-07-24,,,10.020,No,,
1965-07-25,,,9.870,No,,
1965-07-26,,,9.650,No,,
1965-07-27,,,10.650,No,,
1965-07-28,,,10.700,No,,
1965-07-29,,,10.510,No,,
1965-07-30,,,10.470,No,,
1965-07-31,,,10.360,No,,
1965-08-01,,,10.300,No,,
1965-08-02,,,10.490,No,,
1965-08-03,,,10.610,No,,
1965-08-04,,,10.720,No,,
1965-08-05,,,10.500,No,,
1965-08-06,,,10.130,No,,
1965-08-07,,,9.810,No,,
1965-08-08,,,9.440,No,,
1965-08-09,,,9.280,No,,
1965-08-10,,,9.290,No,,
1965-08-11,,,9.630,No,,
1965-08-12,,,10.210,No,,
1965-08-13,,,10.740,No,,
1965-08-14,,,11.170,No,,
1965-08-15,,,11.100,No,,
1965-08-16,,,11.080,No,,
1965-08-17,,,11.370,No,,
1965-08-18,,,11.760,No,,
1965-08-19,,,11.790,No,,
