Timestamp,Water_Level,Water_Level_imputed,Discharge,Discharge_imputed
1960-01-01,3.880,No,8671.000,No
1960-01-02,3.750,No,3700.000,No
1960-01-03,3.650,No,3580.000,No
1960-01-04,3.620,No,3540.000,No
1960-01-05,3.620,No,3540.000,No
1960-01-06,3.540,No,3450.000,No
1960-01-07,3.460,No,3350.000,No
1960-01-08,3.420,No,3300.000,No
1960-01-09,3.320,No,3180.000,No
1960-01-10,3.250,No,3100.000,No
1960-01-11,3.220,No,3060.000,No
1960-01-12,3.250,No,3100.000,No
1960-01-13,3.240,No,3090.000,No
1960-01-14,3.230,No,3080.000,No
1960-01-15,3.220,No,3060.000,No
1960-01-16,3.150,No,2980.000,No
1960-01-17,3.060,No,2870.000,No
1960-01-18,3.050,No,2860.000,No
1960-01-19,3.050,No,2860.000,No
1960-01-20,2.960,No,2760.000,No
1960-01-21,2.940,No,2740.000,No
1960-01-22,2.930,No,2730.000,No
1960-01-23,2.840,No,2640.000,No
1960-01-24,2.750,No,2580.000,No
1960-01-25,2.750,No,2480.000,No
1960-01-26,2.750,No,2410.000,No
1960-01-27,2.750,No,2350.000,No
1960-01-28,2.740,No,2270.000,No
1960-01-29,2.730,No,2230.000,No
1960-01-30,2.730,No,2230.000,No
1960-01-31,2.650,No,2210.000,No
1960-02-01,2.630,No,2210.000,No
1960-02-02,2.630,No,2200.000,No
1960-02-03,2.620,No,2200.000,No
1960-02-04,2.620,No,2240.000,No
1960-02-05,2.450,No,2240.000,No
1960-02-06,2.440,No,2240.000,No
1960-02-07,2.420,No,2230.000,No
1960-02-08,2.400,No,2210.000,No
1960-02-09,2.350,No,2170.000,No
1960-02-10,2.260,No,2170.000,No
1960-02-11,2.330,No,2210.000,No
1960-02-12,2.240,No,2430.000,No
1960-02-13,2.280,No,2480.000,No
1960-02-14,2.300,No,2530.000,No
1960-02-15,2.320,No,2550.000,No
1960-02-16,2.350,No,2630.000,No
1960-02-17,2.360,No,2630.000,No
1960-02-18,2.440,No,2580.000,No
1960-02-19,2.350,No,2530.000,No
1960-02-20,2.250,No,2430.000,No
1960-02-21,2.230,No,2340.000,No
1960-02-22,2.200,No,2310.000,No
1960-02-23,2.190,No,2270.000,No
1960-02-24,2.160,No,2230.000,No
1960-02-25,2.150,No,2190.000,No
1960-02-26,2.150,No,2110.000,No
1960-02-27,2.140,No,2070.000,No
1960-02-28,2.140,No,2060.000,No
1960-02-29,2.130,No,2060.000,No
1960-03-01,2.130,No,2050.000,No
1960-03-02,2.110,No,2050.000,No
1960-03-03,2.110,No,2040.000,No
1960-03-04,2.100,No,2000.000,No
1960-03-05,2.080,No,1970.000,No
1960-03-06,2.100,No,1940.000,No
1960-03-07,2.010,No,1910.000,No
1960-03-08,1.930,No,1900.000,No
1960-03-09,1.840,No,1890.000,No
1960-03-10,1.780,No,1860.000,No
1960-03-11,1.730,No,1820.000,No
1960-03-12,1.630,No,1820.000,No
1960-03-13,1.640,No,1830.000,No
1960-03-14,1.650,No,1840.000,No
1960-03-15,1.740,No,1870.000,No
1960-03-16,1.760,No,1900.000,No
1960-03-17,1.840,No,1900.000,No
1960-03-18,1.850,No,1900.000,No
1960-03-19,1.840,No,1880.000,No
1960-03-20,1.830,No,1860.000,No
1960-03-21,1.820,No,1820.000,No
1960-03-22,1.760,No,1780.000,No
1960-03-23,1.850,No,1750.000,No
1960-03-24,1.760,No,1750.000,No
1960-03-25,1.640,No,1750.000,No
1960-03-26,1.550,No,1720.000,No
1960-03-27,1.560,No,1690.000,No
1960-03-28,1.640,No,1670.000,No
1960-03-29,1.650,No,1660.000,No
1960-03-30,1.660,No,1650.000,No
1960-03-31,1.720,No,1610.000,No
1960-04-01,1.730,No,1600.000,No
1960-04-02,1.620,No,1600.000,No
1960-04-03,1.630,No,1590.000,No
1960-04-04,1.730,No,1550.000,No
1960-04-05,1.740,No,1510.000,No
1960-04-06,2.050,No,1480.000,No
1960-04-07,1.840,No,1460.000,No
1960-04-08,1.820,No,1420.000,No
1960-04-09,1.720,No,1420.000,No
1960-04-10,1.680,No,1400.000,No
1960-04-11,1.650,No,1370.000,No
1960-04-12,1.560,No,1340.000,No
1960-04-13,1.540,No,1310.000,No
1960-04-14,1.560,No,1300.000,No
1960-04-15,1.600,No,1290.000,No
1960-04-16,1.620,No,1260.000,No
1960-04-17,1.640,No,1260.000,No
1960-04-18,1.660,No,1250.000,No
1960-04-19,1.680,No,1270.000,No
1960-04-20,1.720,No,1280.000,No
1960-04-21,1.560,No,1290.000,No
1960-04-22,1.550,No,1300.000,No
1960-04-23,1.510,No,1310.000,No
1960-04-24,1.440,No,1310.000,No
1960-04-25,1.430,No,1310.000,No
1960-04-26,1.420,No,1310.000,No
1960-04-27,1.410,No,1310.000,No
1960-04-28,1.400,No,1310.000,No
1960-04-29,1.380,No,1310.000,No
1960-04-30,1.360,No,1300.000,No
1960-05-01,1.340,No,1300.000,No
1960-05-02,1.300,No,1310.000,No
1960-05-03,1.260,No,1350.000,No
1960-05-04,1.220,No,1360.000,No
1960-05-05,1.260,No,1370.000,No
1960-05-06,1.310,No,1370.000,No
1960-05-07,1.360,No,1370.000,No
1960-05-08,1.390,No,1350.000,No
1960-05-09,1.480,No,1310.000,No
1960-05-10,1.620,No,1270.000,No
1960-05-11,1.560,No,1260.000,No
1960-05-12,1.460,No,1280.000,No
1960-05-13,1.500,No,1300.000,No
1960-05-14,1.540,No,1310.000,No
1960-05-15,1.690,No,1370.000,No
1960-05-16,1.720,No,1400.000,No
1960-05-17,1.740,No,1600.000,No
1960-05-18,1.730,No,2120.000,No
1960-05-19,1.720,No,2160.000,No
1960-05-20,1.660,No,2160.000,No
1960-05-21,1.650,No,2000.000,No
1960-05-22,1.640,No,2010.000,No
1960-05-23,1.650,No,2090.000,No
1960-05-24,1.530,No,2170.000,No
1960-05-25,1.550,No,2170.000,No
1960-05-26,1.730,No,2290.000,No
1960-05-27,1.830,No,2800.000,No
1960-05-28,1.870,No,2900.000,No
1960-05-29,1.760,No,2800.000,No
1960-05-30,1.790,No,2700.000,No
1960-05-31,1.760,No,2600.000,No
1960-06-01,1.700,No,2500.000,No
1960-06-02,1.620,No,2400.000,No
1960-06-03,1.690,No,2300.000,No
1960-06-04,1.550,No,2200.000,No
1960-06-05,1.610,No,2350.000,No
1960-06-06,1.870,No,2900.000,No
1960-06-07,2.610,No,5040.000,No
1960-06-08,2.680,No,5320.000,No
1960-06-09,2.950,No,6400.000,No
1960-06-10,3.270,No,7920.000,No
1960-06-11,3.280,No,7920.000,No
1960-06-12,3.260,No,7820.000,No
1960-06-13,3.230,No,7650.000,No
1960-06-14,3.190,No,7470.000,No
1960-06-15,2.820,No,5880.000,No
1960-06-16,2.740,No,5560.000,No
1960-06-17,2.670,No,5280.000,No
1960-06-18,2.620,No,5080.000,No
1960-06-19,2.580,No,4930.000,No
1960-06-20,2.560,No,4860.000,No
1960-06-21,2.560,No,4860.000,No
1960-06-22,2.580,No,4930.000,No
1960-06-23,2.520,No,4720.000,No
1960-06-24,2.620,No,5080.000,No
1960-06-25,2.890,No,6160.000,No
1960-06-26,3.050,No,6880.000,No
1960-06-27,3.090,No,7470.000,No
1960-06-28,3.040,No,6880.000,No
1960-06-29,3.030,No,6780.000,No
1960-06-30,3.130,No,7200.000,No
1960-07-01,3.440,No,8620.000,No
1960-07-02,3.540,No,9090.000,No
1960-07-03,3.580,No,9280.000,No
1960-07-04,3.660,No,9670.000,No
1960-07-05,3.950,No,11100.000,No
1960-07-06,3.970,No,11200.000,No
1960-07-07,4.050,No,11600.000,No
1960-07-08,4.240,No,12500.000,No
1960-07-09,4.260,No,12600.000,No
1960-07-10,4.290,No,12800.000,No
1960-07-11,4.320,No,12900.000,No
1960-07-12,4.280,No,12700.000,No
1960-07-13,4.270,No,12700.000,No
1960-07-14,4.320,No,12900.000,No
1960-07-15,4.270,No,12700.000,No
1960-07-16,4.270,No,12700.000,No
1960-07-17,4.210,No,12400.000,No
1960-07-18,4.170,No,12200.000,No
1960-07-19,4.130,No,12000.000,No
1960-07-20,4.120,No,11900.000,No
1960-07-21,4.260,No,12400.000,No
1960-07-22,4.260,No,12600.000,No
1960-07-23,4.280,No,12700.000,No
1960-07-24,4.270,No,12700.000,No
1960-07-25,4.290,No,12800.000,No
1960-07-26,4.290,No,12400.000,No
1960-07-27,4.300,No,12400.000,No
1960-07-28,4.310,No,12700.000,No
1960-07-29,4.370,No,13200.000,No
1960-07-30,4.510,No,13900.000,No
1960-07-31,4.800,No,15400.000,No
1960-08-01,5.220,No,17600.000,No
1960-08-02,5.810,No,21000.000,No
1960-08-03,6.540,No,25300.000,No
1960-08-04,6.980,No,28300.000,No
1960-08-05,7.010,No,28400.000,No
1960-08-06,6.930,No,27900.000,No
1960-08-07,6.920,No,27800.000,No
1960-08-08,7.000,No,28300.000,No
1960-08-09,7.140,No,29300.000,No
1960-08-10,7.330,No,30500.000,No
1960-08-11,7.400,No,30900.000,No
1960-08-12,7.670,No,32800.000,No
1960-08-13,7.740,No,33200.000,No
1960-08-14,7.730,No,33000.000,No
1960-08-15,7.720,No,32600.000,No
1960-08-16,7.710,No,31700.000,No
1960-08-17,7.740,No,31600.000,No
1960-08-18,7.840,No,33000.000,No
1960-08-19,8.030,No,34500.000,No
1960-08-20,8.220,No,36000.000,No
1960-08-21,8.410,No,37400.000,No
1960-08-22,8.560,No,38600.000,No
1960-08-23,8.690,No,39500.000,No
1960-08-24,8.780,No,40400.000,No
1960-08-25,8.870,No,40900.000,No
1960-08-26,8.890,No,41500.000,No
1960-08-27,9.110,No,42400.000,No
1960-08-28,9.210,No,43100.000,No
1960-08-29,9.270,No,43300.000,No
1960-08-30,9.300,No,42500.000,No
1960-08-31,9.300,No,41900.000,No
1960-09-01,9.300,No,39600.000,No
1960-09-02,9.270,No,39700.000,No
1960-09-03,9.220,No,38700.000,No
1960-09-04,9.190,No,37800.000,No
1960-09-05,9.180,No,37200.000,No
1960-09-06,9.180,No,37600.000,No
1960-09-07,9.170,No,37200.000,No
1960-09-08,9.170,No,36700.000,No
1960-09-09,9.170,No,36800.000,No
1960-09-10,9.180,No,36800.000,No
1960-09-11,9.190,No,36700.000,No
1960-09-12,9.190,No,36400.000,No
1960-09-13,9.200,No,36400.000,No
1960-09-14,9.220,No,36400.000,No
1960-09-15,9.240,No,36300.000,No
1960-09-16,9.250,No,36200.000,No
