Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,014501,Discharge,Daily Discharge,1910-01-01T00:00Z,5988.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-02T00:00Z,5629.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-03T00:00Z,5413.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-04T00:00Z,5377.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-05T00:00Z,5222.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-06T00:00Z,5062.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-07T00:00Z,4994.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-08T00:00Z,4791.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-09T00:00Z,4825.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-10T00:00Z,4791.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-11T00:00Z,4587.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-12T00:00Z,4519.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-13T00:00Z,4553.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-14T00:00Z,4417.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-15T00:00Z,4255.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-16T00:00Z,4190.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-17T00:00Z,4319.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-18T00:00Z,4255.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-19T00:00Z,4158.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-20T00:00Z,4126.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-21T00:00Z,4061.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-22T00:00Z,4029.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-23T00:00Z,3933.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-24T00:00Z,3933.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-25T00:00Z,3933.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-26T00:00Z,3804.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-27T00:00Z,3772.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-28T00:00Z,3751.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-29T00:00Z,3678.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-30T00:00Z,3616.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-01-31T00:00Z,3554.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-01T00:00Z,3616.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-02T00:00Z,3616.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-03T00:00Z,3554.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-04T00:00Z,3493.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-05T00:00Z,3462.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-06T00:00Z,3431.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-07T00:00Z,3431.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-08T00:00Z,3369.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-09T00:00Z,3309.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-10T00:00Z,3309.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-11T00:00Z,3247.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-12T00:00Z,3218.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-13T00:00Z,3278.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-14T00:00Z,3247.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-15T00:00Z,3158.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-16T00:00Z,3128.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-17T00:00Z,3098.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-18T00:00Z,3098.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-19T00:00Z,3098.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-20T00:00Z,3069.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-21T00:00Z,3039.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-22T00:00Z,3069.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-23T00:00Z,3039.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-24T00:00Z,3009.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-25T00:00Z,3009.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-26T00:00Z,3039.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-27T00:00Z,3098.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-02-28T00:00Z,3247.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-01T00:00Z,3128.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-02T00:00Z,3098.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-03T00:00Z,3188.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-04T00:00Z,3069.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-05T00:00Z,2834.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-06T00:00Z,2980.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-07T00:00Z,2921.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-08T00:00Z,2921.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-09T00:00Z,2921.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-10T00:00Z,2834.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-11T00:00Z,2718.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-12T00:00Z,2690.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-13T00:00Z,2632.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-14T00:00Z,2604.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-15T00:00Z,2520.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Discharge,Daily Discharge,1910-03-16T00:00Z,2492.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
