Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,451305,Water Level,Manual,1992-01-01T00:00Z,38.14,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-02T00:00Z,38.12,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-03T00:00Z,38.12,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-04T00:00Z,38.1,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-05T00:00Z,38.12,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-06T00:00Z,38.14,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-07T00:00Z,38.14,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-08T00:00Z,38.12,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-09T00:00Z,38.1,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-10T00:00Z,38.1,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-11T00:00Z,38.09,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-12T00:00Z,38.08,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-13T00:00Z,38.08,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-14T00:00Z,38.06,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-15T00:00Z,38.06,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-16T00:00Z,38.06,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-17T00:00Z,38.03,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-18T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-19T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-20T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-21T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-22T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-01-23T00:00Z,38.01,m,O,Raw - Not Yet Reviewed,Unverified data
