Timestamp,Rainfall,Rainfall_imputed,Water_Level,Water_Level_imputed,Discharge,Discharge_imputed
1952-01-01,,,,,70.000,No
1952-01-02,,,,,61.000,No
1952-01-03,,,,,58.000,No
1952-01-04,,,,,57.000,No
1952-01-05,,,,,54.000,No
1952-01-06,,,,,49.000,No
1952-01-07,,,,,48.000,No
1952-01-08,,,,,47.000,No
1952-01-09,,,,,46.000,No
1952-01-10,,,,,45.000,No
1952-01-11,,,,,40.000,No
1952-01-12,,,,,39.000,No
1952-01-13,,,,,38.000,No
1952-01-14,,,,,37.000,No
1952-01-15,,,,,35.000,No
1952-01-16,,,,,31.000,No
1952-01-17,,,,,30.000,No
1952-01-18,,,,,29.000,No
1952-01-19,,,,,28.000,No
1952-01-20,,,,,25.000,No
1952-01-21,,,,,22.000,No
1952-01-22,,,,,21.000,No
1952-01-23,,,,,21.000,No
1952-01-24,,,,,20.000,No
1952-01-25,,,,,19.000,No
1952-01-26,,,,,17.000,No
1952-01-27,,,,,17.000,No
1952-01-28,,,,,16.000,No
1952-01-29,,,,,16.000,No
1952-01-30,,,,,15.000,No
1952-01-31,,,,,14.000,No
1952-02-01,,,,,14.000,No
1952-02-02,,,,,14.000,No
1952-02-03,,,,,14.000,No
1952-02-04,,,,,13.000,No
1952-02-05,,,,,13.000,No
1952-02-06,,,,,12.000,No
1952-02-07,,,,,12.000,No
1952-02-08,,,,,12.000,No
1952-02-09,,,,,11.000,No
1952-02-10,,,,,11.000,No
1952-02-11,,,,,10.000,No
1952-02-12,,,,,10.000,No
1952-02-13,,,,,10.000,No
1952-02-14,,,,,9.000,No
1952-02-15,,,,,9.000,No
1952-02-16,,,,,9.000,No
1952-02-17,,,,,8.000,No
1952-02-18,,,,,8.000,No
1952-02-19,,,,,8.000,No
1952-02-20,,,,,7.000,No
1952-02-21,,,,,7.000,No
1952-02-22,,,,,7.000,No
1952-02-23,,,,,7.000,No
1952-02-24,,,,,6.000,No
1952-02-25,,,,,6.000,No
1952-02-26,,,,,6.000,No
1952-02-27,,,,,6.000,No
1952-02-28,,,,,5.500,No
1952-02-29,,,,,5.000,No
1952-03-01,,,,,5.000,No
1952-03-02,,,,,5.000,No
1952-03-03,,,,,5.000,No
1952-03-04,,,,,5.000,No
1952-03-05,,,,,5.000,No
1952-03-06,,,,,5.000,No
1952-03-07,,,,,5.000,No
1952-03-08,,,,,5.000,No
1952-03-09,,,,,5.000,No
1952-03-10,,,,,5.000,No
1952-03-11,,,,,5.000,No
1952-03-12,,,,,5.000,No
1952-03-13,,,,,5.000,No
1952-03-14,,,,,5.000,No
1952-03-15,,,,,7.000,No
1952-03-16,,,,,13.000,No
1952-03-17,,,,,18.000,No
1952-03-18,,,,,22.000,No
1952-03-19,,,,,33.000,No
1952-03-20,,,,,19.000,No
1952-03-21,,,,,21.000,No
1952-03-22,,,,,21.000,No
1952-03-23,,,,,21.000,No
1952-03-24,,,,,17.000,No
1952-03-25,,,,,16.000,No
1952-03-26,,,,,22.000,No
1952-03-27,,,,,23.000,No
1952-03-28,,,,,24.000,No
1952-03-29,,,,,26.000,No
1952-03-30,,,,,28.000,No
1952-03-31,,,,,29.000,No
1952-04-01,,,,,30.000,No
1952-04-02,,,,,31.000,No
1952-04-03,,,,,31.000,No
1952-04-04,,,,,40.000,No
1952-04-05,,,,,48.000,No
1952-04-06,,,,,50.000,No
1952-04-07,,,,,54.000,No
1952-04-08,,,,,54.000,No
1952-04-09,,,,,52.000,No
1952-04-10,,,,,51.000,No
1952-04-11,,,,,42.000,No
1952-04-12,,,,,36.000,No
1952-04-13,,,,,35.000,No
1952-04-14,,,,,33.000,No
1952-04-15,,,,,31.000,No
1952-04-16,,,,,31.000,No
1952-04-17,,,,,30.000,No
1952-04-18,,,,,29.000,No
1952-04-19,,,,,28.000,No
1952-04-20,,,,,24.000,No
1952-04-21,,,,,21.000,No
1952-04-22,,,,,20.000,No
1952-04-23,,,,,20.000,No
1952-04-24,,,,,19.000,No
1952-04-25,,,,,19.000,No
1952-04-26,,,,,18.000,No
1952-04-27,,,,,18.000,No
1952-04-28,,,,,16.000,No
1952-04-29,,,,,13.000,No
1952-04-30,,,,,12.000,No
1952-05-01,,,,,9.000,No
1952-05-02,,,,,8.000,No
1952-05-03,,,,,8.000,No
1952-05-04,,,,,8.000,No
1952-05-05,,,,,8.000,No
1952-05-06,,,,,7.000,No
1952-05-07,,,,,7.000,No
1952-05-08,,,,,7.000,No
1952-05-09,,,,,6.000,No
1952-05-10,,,,,6.000,No
1952-05-11,,,,,6.000,No
1952-05-12,,,,,6.000,No
1952-05-13,,,,,5.000,No
1952-05-14,,,,,5.000,No
1952-05-15,,,,,5.000,No
1952-05-16,,,,,5.000,No
1952-05-17,,,,,7.000,No
1952-05-18,,,,,12.000,No
1952-05-19,,,,,16.000,No
1952-05-20,,,,,21.000,No
1952-05-21,,,,,23.000,No
1952-05-22,,,,,23.000,No
1952-05-23,,,,,24.000,No
1952-05-24,,,,,25.000,No
1952-05-25,,,,,27.000,No
1952-05-26,,,,,29.000,No
1952-05-27,,,,,29.000,No
1952-05-28,,,,,30.000,No
1952-05-29,,,,,29.000,No
1952-05-30,,,,,28.000,No
1952-05-31,,,,,29.000,No
1952-06-01,,,,,28.000,No
1952-06-02,,,,,33.000,No
1952-06-03,,,,,40.000,No
1952-06-04,,,,,38.000,No
1952-06-05,,,,,40.000,No
1952-06-06,,,,,46.000,No
1952-06-07,,,,,56.000,No
1952-06-08,,,,,72.000,No
1952-06-09,,,,,71.000,No
1952-06-10,,,,,64.000,No
1952-06-11,,,,,51.000,No
1952-06-12,,,,,45.000,No
1952-06-13,,,,,38.000,No
1952-06-14,,,,,32.000,No
1952-06-15,,,,,30.000,No
1952-06-16,,,,,32.000,No
1952-06-17,,,,,36.000,No
1952-06-18,,,,,40.000,No
1952-06-19,,,,,38.000,No
1952-06-20,,,,,35.000,No
1952-06-21,,,,,30.000,No
1952-06-22,,,,,36.000,No
1952-06-23,,,,,49.000,No
1952-06-24,,,,,57.000,No
1952-06-25,,,,,56.000,No
1952-06-26,,,,,47.000,No
1952-06-27,,,,,41.000,No
1952-06-28,,,,,38.000,No
1952-06-29,,,,,41.000,No
1952-06-30,,,,,45.000,No
1952-07-01,,,,,57.000,No
1952-07-02,,,,,60.000,No
1952-07-03,,,,,65.000,No
1952-07-04,,,,,69.000,No
1952-07-05,,,,,74.000,No
1952-07-06,,,,,85.000,No
1952-07-07,,,,,95.000,No
1952-07-08,,,,,103.000,No
1952-07-09,,,,,105.000,No
1952-07-10,,,,,103.000,No
1952-07-11,,,,,91.000,No
1952-07-12,,,,,73.000,No
1952-07-13,,,,,70.000,No
1952-07-14,,,,,64.000,No
1952-07-15,,,,,62.000,No
1952-07-16,,,,,64.000,No
1952-07-17,,,,,66.000,No
1952-07-18,,,,,69.000,No
1952-07-19,,,,,71.000,No
1952-07-20,,,,,73.000,No
1952-07-21,,,,,80.000,No
1952-07-22,,,,,91.000,No
1952-07-23,,,,,102.000,No
1952-07-24,,,,,112.000,No
1952-07-25,,,,,123.000,No
1952-07-26,,,,,118.000,No
1952-07-27,,,,,102.000,No
1952-07-28,,,,,95.000,No
1952-07-29,,,,,98.000,No
1952-07-30,,,,,99.000,No
1952-07-31,,,,,102.000,No
1952-08-01,,,,,102.000,No
1952-08-02,,,,,103.000,No
1952-08-03,,,,,120.000,No
1952-08-04,,,,,178.000,No
1952-08-05,,,,,193.000,No
1952-08-06,,,,,238.000,No
1952-08-07,,,,,253.000,No
1952-08-08,,,,,276.000,No
1952-08-09,,,,,327.000,No
1952-08-10,,,,,335.000,No
1952-08-11,,,,,363.000,No
1952-08-12,,,,,405.000,No
1952-08-13,,,,,452.000,No
1952-08-14,,,,,513.000,No
1952-08-15,,,,,534.000,No
1952-08-16,,,,,632.000,No
1952-08-17,,,,,649.000,No
1952-08-18,,,,,668.000,No
1952-08-19,,,,,672.000,No
1952-08-20,,,,,692.000,No
1952-08-21,,,,,705.000,No
1952-08-22,,,,,720.000,No
1952-08-23,,,,,728.000,No
1952-08-24,,,,,733.000,No
1952-08-25,,,,,758.000,No
1952-08-26,,,,,772.000,No
1952-08-27,,,,,802.000,No
1952-08-28,,,,,826.000,No
1952-08-29,,,,,851.000,No
1952-08-30,,,,,854.000,No
1952-08-31,,,,,840.000,No
1952-09-01,,,,,840.000,No
1952-09-02,,,,,829.000,No
1952-09-03,,,,,815.000,No
1952-09-04,,,,,808.000,No
1952-09-05,,,,,775.000,No
1952-09-06,,,,,760.000,No
1952-09-07,,,,,752.000,No
1952-09-08,,,,,748.000,No
1952-09-09,,,,,717.000,No
1952-09-10,,,,,700.000,No
1952-09-11,,,,,755.000,No
1952-09-12,,,,,768.000,No
1952-09-13,,,,,782.000,No
1952-09-14,,,,,795.000,No
1952-09-15,,,,,815.000,No
1952-09-16,,,,,832.000,No
1952-09-17,,,,,837.000,No
1952-09-18,,,,,854.000,No
1952-09-19,,,,,857.000,No
1952-09-20,,,,,859.000,No
1952-09-21,,,,,851.000,No
1952-09-22,,,,,848.000,No
1952-09-23,,,,,826.000,No
1952-09-24,,,,,829.000,No
1952-09-25,,,,,843.000,No
1952-09-26,,,,,883.000,No
1952-09-27,,,,,904.000,No
1952-09-28,,,,,949.000,No
1952-09-29,,,,,964.000,No
1952-09-30,,,,,976.000,No
1952-10-01,,,,,989.000,No
1952-10-02,,,,,1010.000,No
1952-10-03,,,,,1010.000,No
1952-10-04,,,,,999.000,No
1952-10-05,,,,,985.000,No
1952-10-06,,,,,973.000,No
1952-10-07,,,,,967.000,No
1952-10-08,,,,,964.000,No
1952-10-09,,,,,949.000,No
1952-10-10,,,,,940.000,No
1952-10-11,,,,,931.000,No
1952-10-12,,,,,925.000,No
1952-10-13,,,,,916.000,No
1952-10-14,,,,,868.000,No
1952-10-15,,,,,859.000,No
1952-10-16,,,,,854.000,No
1952-10-17,,,,,843.000,No
1952-10-18,,,,,832.000,No
1952-10-19,,,,,829.000,No
1952-10-20,,,,,818.000,No
1952-10-21,,,,,802.000,No
1952-10-22,,,,,795.000,No
1952-10-23,,,,,785.000,No
1952-10-24,,,,,733.000,No
1952-10-25,,,,,711.000,No
1952-10-26,,,,,707.000,No
1952-10-27,,,,,702.000,No
1952-10-28,,,,,698.000,No
1952-10-29,,,,,690.000,No
1952-10-30,,,,,678.000,No
1952-10-31,,,,,676.000,No
1952-11-01,,,,,676.000,No
1952-11-02,,,,,680.000,No
1952-11-03,,,,,680.000,No
1952-11-04,,,,,680.000,No
1952-11-05,,,,,670.000,No
1952-11-06,,,,,666.000,No
1952-11-07,,,,,662.000,No
1952-11-08,,,,,655.000,No
1952-11-09,,,,,646.000,No
1952-11-10,,,,,640.000,No
1952-11-11,,,,,630.000,No
1952-11-12,,,,,625.000,No
1952-11-13,,,,,621.000,No
1952-11-14,,,,,612.000,No
1952-11-15,,,,,600.000,No
1952-11-16,,,,,594.000,No
1952-11-17,,,,,590.000,No
1952-11-18,,,,,586.000,No
1952-11-19,,,,,581.000,No
1952-11-20,,,,,580.000,No
1952-11-21,,,,,575.000,No
1952-11-22,,,,,556.000,No
1952-11-23,,,,,554.000,No
1952-11-24,,,,,551.000,No
1952-11-25,,,,,548.000,No
1952-11-26,,,,,527.000,No
1952-11-27,,,,,506.000,No
1952-11-28,,,,,491.000,No
1952-11-29,,,,,454.000,No
1952-11-30,,,,,415.000,No
1952-12-01,,,,,390.000,No
1952-12-02,,,,,378.000,No
1952-12-03,,,,,368.000,No
1952-12-04,,,,,350.000,No
1952-12-05,,,,,333.000,No
1952-12-06,,,,,298.000,No
1952-12-07,,,,,283.000,No
1952-12-08,,,,,274.000,No
1952-12-09,,,,,255.000,No
1952-12-10,,,,,236.000,No
1952-12-11,,,,,227.000,No
1952-12-12,,,,,214.000,No
1952-12-13,,,,,192.000,No
1952-12-14,,,,,181.000,No
1952-12-15,,,,,177.000,No
1952-12-16,,,,,175.000,No
1952-12-17,,,,,169.000,No
1952-12-18,,,,,161.000,No
1952-12-19,,,,,153.000,No
1952-12-20,,,,,140.000,No
1952-12-21,,,,,131.000,No
1952-12-22,,,,,127.000,No
1952-12-23,,,,,103.000,No
1952-12-24,,,,,97.000,No
1952-12-25,,,,,92.000,No
1952-12-26,,,,,88.000,No
1952-12-27,,,,,83.000,No
1952-12-28,,,,,66.000,No
1952-12-29,,,,,57.000,No
1952-12-30,,,,,49.000,No
