Station_Name,Station_Code,Country,Latitude,Longitude,Available_Categories
Ban Chot,Ban_Chot,Thailand,16.102,102.573,"Discharge, Water Level"
Ban Don,Ban_Don,Viet Nam,12.898,107.783,"Discharge, Rainfall, Water Level"
Ban Huai Khayuong,Ban_Huai_Khayuong,Thailand,15.007,105.634,"Discharge, Water Level"
Ban Huai Yano Mai,Ban_Huai_Yano_Mai,Thailand,20.113,99.782,"Discharge, Water Level"
Ban Kamphun,Ban_Kamphun,Cambodia,13.536,106.052,"Discharge, Water Level"
Ban Kengdone,Ban_Kengdone,Lao PDR,16.187,105.313,"Discharge, Water Level"
Ban Na Luang,Ban_Na_Luang,Lao PDR,18.914,102.774,"Discharge, Water Level"
Ban Nong Kiang,Ban_Nong_Kiang,Thailand,16.135,101.664,"Discharge, Water Level"
Ban Pak Huai,Ban_Pak_Huai,Thailand,17.704,101.412,"Discharge, Water Level"
Ban Pak Kanhoung,Ban_Pak_Kanhoung,Lao PDR,18.419,102.546,"Discharge, Water Level"
Ban Tad Ton,Ban_Tad_Ton,Thailand,15.944,102.026,"Discharge, Water Level"
Ban Tha Mai Liam,Ban_Tha_Mai_Liam,Thailand,20.021,99.355,"Discharge, Water Level"
Ban Tha Ton,Ban_Tha_Ton,Thailand,20.061,99.36,"Discharge, Water Level"
Batri,Batri,Viet Nam,9.967,106.6,Rainfall
Battambang,Battambang,Cambodia,13.092,103.2,"Discharge, Water Level"
Ben Luc,Ben_Luc,Viet Nam,10.633,106.467,Rainfall
Buon Ho,Buon_Ho,Viet Nam,12.917,108.267,Rainfall
Buon Me Thuoc,Buon_Me_Thuoc,Viet Nam,12.667,108.05,Rainfall
Ca Mau,Ca_Mau,Viet Nam,9.017,105.08,Rainfall
Cai Be,Cai_Be,Viet Nam,10.333,106.033,Rainfall
Cai Lay,Cai_Lay,Viet Nam,10.417,106.05,"Rainfall, Water Level"
Can Tho,Can_Tho,Viet Nam,10.033,105.783,"Discharge, Rainfall, Water Level"
Cau 14 (Buon Bur),Cau_14_(Buon_Bur),Viet Nam,12.612,107.929,"Discharge, Water Level"
Chaktomuk,Chaktomuk,Cambodia,11.563,104.935,"Discharge, Water Level"
Chantangoy,Chantangoy,Cambodia,13.566,106.053,"Discharge, Water Level"
Chau Doc,Chau_Doc,Viet Nam,10.7,105.1,"Rainfall, Water Level"
Chiang Khan,Chiang_Khan,Thailand,19.9,101.67,"Discharge, Rainfall, Water Level"
Chiang Saen,Chiang_Saen,Thailand,20.27,100.1,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Cho Lach,Cho_Lach,Viet Nam,10.272,106.126,Water Level
Cho Moi,Cho_Moi,Viet Nam,10.417,105.55,"Rainfall, Water Level"
Chroy Chang Var,Chroy_Chang_Var,Cambodia,11.587,104.938,"Discharge, Water Level"
Dai Ngai,Dai_Ngai,Viet Nam,9.8,106.017,"Rainfall, Water Level"
Dak Nong,Dak_Nong,Viet Nam,12.001,107.688,Rainfall
Dak To,Dak_To,Viet Nam,14.704,107.848,Rainfall
Dinh An,Dinh_An,Viet Nam,9.531,106.368,Water Level
Duc Xuyen,Duc_Xuyen,Viet Nam,12.297,107.976,"Discharge, Water Level"
Giang Son,Giang_Son,Viet Nam,12.51,108.183,Water Level
Jinghong,Jinghong,China,22.016,100.802,Water Level
Khong Chiam,Khong_Chiam,Thailand,15.32,105.5,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Kompong Cham,Kompong_Cham,Cambodia,12.002,105.45,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Kontum,Kontum,Viet Nam,14.347,108.034,"Discharge, Rainfall, Water Level"
Kratie,Kratie,Cambodia,12.49,106.02,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Luang Prabang,Luang_Prabang,Lao PDR,19.88,102.13,"Rainfall, Total Suspended Solids, Water Level"
Lumphat,Lumphat,Cambodia,11.299,104.632,"Discharge, Rainfall, Water Level"
Mukdahan,Mukdahan,Thailand,16.53,104.73,"Discharge, Rainfall, Water Level"
My Tho,My_Tho,Viet Nam,10.35,106.4,"Rainfall, Water Level"
My Thuan,My_Thuan,Viet Nam,10.275,105.926,"Discharge, Rainfall, Water Level"
Nakhon Phanom,Nakhon_Phanom,Thailand,17.5,104.33,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Nong Khai,Nong_Khai,Thailand,17.87,102.75,"Discharge, Rainfall, Water Level"
Pakse,Pakse,Lao PDR,15.12,105.78,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Phnom Penh Port,Phnom_Penh_Port,Cambodia,11.6,104.83,"Rainfall, Total Suspended Solids, Water Level"
Phung Hiep,Phung_Hiep,Viet Nam,9.8,105.15,"Rainfall, Water Level"
Pleiku,Pleiku,Viet Nam,13.967,108.017,Rainfall
Stung Treng,Stung_Treng,Cambodia,13.52,105.97,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Tan Chau,Tan_Chau,Viet Nam,10.801,105.248,"Rainfall, Water Level"
Tan Hiep,Tan_Hiep,Viet Nam,10.083,105.25,"Rainfall, Water Level"
Vam Kenh,Vam_Kenh,Viet Nam,10.274,106.737,Water Level
Vam Nao,Vam_Nao,Viet Nam,10.579,105.363,"Discharge, Rainfall, Water Level"
Vi Thanh,Vi_Thanh,Viet Nam,9.767,105.45,"Rainfall, Water Level"
Vientiane KM4,Vientiane_KM4,Lao PDR,17.95,102.57,"Discharge, Rainfall, Total Suspended Solids, Water Level"
Yasothon,Yasothon,Thailand,15.8,104.15,"Discharge, Rainfall, Water Level"
